date,Response
2020-01-02 07:59:00,"Sentiment score: -75
Relatedness: 90"
2020-01-02 08:16:00,"Sentiment score: -70
Relatedness: 80"
2020-01-02 19:14:00,"Sentiment score: 0
Relatedness: 20"
2020-01-03 00:29:00,"Sentiment score: 75
Relatedness: 80"
2020-01-03 06:01:00,"Sentiment score: 0
Relatedness: 70"
2020-01-03 08:18:00,"Sentiment score: 0
Relatedness: 20"
2020-01-03 20:07:00,"Sentiment score: 75
Relatedness: 50"
2020-01-05 00:35:00,"Sentiment score: -30
Relatedness: 60"
2020-01-05 17:27:00,"Sentiment score: -80
Relatedness: 60"
2020-01-06 14:46:00,"Sentiment score: 0
Relatedness: 100"
2020-01-07 15:03:00,"Sentiment score: 70
Relatedness: 90"
2020-01-07 16:00:00,"Sentiment score: 10
Relatedness: 20"
2020-01-07 20:48:00,"Sentiment score: 70
Relatedness: 90"
2020-01-07 20:50:00,"Sentiment score: -50
Relatedness: 70"
2020-01-08 06:01:00,"Sentiment score: -70
Relatedness: 90"
2020-01-09 07:41:00,"Sentiment score: -50
Relatedness: 20"
2020-01-09 09:15:00,"Sentiment score: 70
Relatedness: 20"
2020-01-09 09:26:00,"Sentiment score: -50
Relatedness: 30"
2020-01-09 09:43:00,"Sentiment score: 80
Relatedness: 60"
2020-01-09 18:04:00,"Sentiment score: 70
Relatedness: 90"
2020-01-09 23:30:00,"Sentiment score: 60
Relatedness: 80"
2020-01-10 00:52:00,"Sentiment score: 50
Relatedness: 70"
2020-01-10 00:56:00,"Sentiment score: 80
Relatedness: 90"
2020-01-10 07:51:00,"Sentiment score: 50
Relatedness: 10"
2020-01-11 06:06:00,"Sentiment score: 70
Relatedness: 50"
2020-01-13 10:39:00,"Sentiment score: -70
Relatedness: 60"
2020-01-13 13:29:00,"Sentiment score: -40
Relatedness: 70"
2020-01-13 14:34:00,"Sentiment score: -70
Relatedness: 20"
2020-01-13 14:46:00,"Sentiment score: 20
Relatedness: 60"
2020-01-13 14:54:00,"Sentiment score: 0
Relatedness: 50"
2020-01-13 16:39:00,"Sentiment score: 0
Relatedness: 80"
2020-01-13 16:39:00,"Sentiment score: 0
Relatedness: 10"
2020-01-14 10:48:00,"Sentiment score: -60
Relatedness: 20"
2020-01-14 14:39:00,"Sentiment score: -70
Relatedness: 30"
2020-01-15 02:46:00,"Sentiment score: 50
Relatedness: 75"
2020-01-15 06:01:00,"Sentiment score: -70
Relatedness: 90"
2020-01-15 08:23:00,"Sentiment score: 20
Relatedness: 60"
2020-01-16 09:06:00,"Sentiment score: 70
Relatedness: 30"
2020-01-16 18:51:00,"Sentiment score: -40
Relatedness: 20"
2020-01-16 22:03:00,"Sentiment score: 20
Relatedness: 60"
2020-01-17 10:31:00,"Sentiment score: -70
Relatedness: 10"
2020-01-17 10:31:00,"Sentiment score: -75
Relatedness: 35"
2020-01-17 14:47:00,"Sentiment score: -80
Relatedness: 5"
2020-01-17 15:09:00,"Sentiment score: -80
Relatedness: 60"
2020-01-17 22:44:00,"Sentiment score: -60
Relatedness: 70"
2020-01-18 21:53:00,"Sentiment score: 30
Relatedness: 20"
2020-01-19 20:59:00,"Sentiment score: 0
Relatedness: 20"
2020-01-19 21:00:00,"Sentiment score: 0
Relatedness: 50"
2020-01-21 07:38:00,"Sentiment score: 50
Relatedness: 75"
2020-01-21 22:58:00,"Sentiment score: -20
Relatedness: 50"
2020-01-22 09:53:00,"Sentiment score: 50
Relatedness: 80"
2020-01-22 12:51:00,"Sentiment score: 50
Relatedness: 30"
2020-01-23 09:56:00,"Sentiment score: 20
Relatedness: 60"
2020-01-23 10:13:00,"Sentiment score: 0
Relatedness: 75"
2020-01-23 16:07:00,"Sentiment score: -20
Relatedness: 70"
2020-01-23 21:13:00,"Sentiment score: 0
Relatedness: 30"
2020-01-23 21:58:00,"Sentiment score: 0
Relatedness: 10"
2020-01-23 21:59:00,"Sentiment score: 5
Relatedness: 10"
