date,close,open,high,low,volume
2018/1/2,1320.9,1309.9,1325,1309.3,18.34K
2018/1/3,1323.4,1323.7,1327.4,1313.9,20.47K
2018/1/4,1326.4,1319.5,1331.9,1312,29.63K
2018/1/5,1327.1,1328.7,1329.3,1319.6,14.45K
2018/1/8,1325.2,1325.6,1327.8,1320.7,31.68K
2018/1/9,1318.5,1326.1,1326.2,1314.4,48.11K
2018/1/10,1324.1,1318.2,1333,1313.9,38.91K
2018/1/11,1327.3,1322,1329.3,1321,19.60K
2018/1/12,1339.8,1327.9,1344.8,1326,36.01K
2018/1/16,1342,1342,1349.7,1337,39.94K
2018/1/17,1344,1344.4,1349.2,1331.3,59.49K
2018/1/18,1332,1332.2,1338,1329.1,21.63K
2018/1/19,1338,1332.3,1342.7,1331.6,35.64K
2018/1/22,1336.9,1339.4,1340.3,1332.9,104.32K
2018/1/23,1341.7,1338.4,1346.6,1335.8,70.40K
2018/1/24,1361.4,1346.2,1366.8,1344.1,159.34K
2018/1/25,1368,1362.7,1370.5,1346.2,142.58K
2018/1/26,1357.2,1352.7,1361,1348.6,142.27K
2018/1/29,1345.1,1353.7,1356.3,1340.9,233.76K
2018/1/30,1345.2,1349.6,1357.4,1342.9,7.58K
2018/1/31,1348.4,1346.5,1355.9,1341.2,5.95K
2018/2/1,1353.1,1352.5,1359.4,1345.7,3.87K
2018/2/2,1342.5,1355.4,1358.4,1335.3,6.84K
2018/2/5,1341.7,1339.7,1349.2,1336.7,4.52K
2018/2/6,1334.7,1347.3,1354.4,1328,6.26K
2018/2/7,1319.8,1332.6,1339.5,1318.8,4.79K
2018/2/8,1324.2,1325.5,1329.5,1314.5,7.80K
2018/2/9,1320.9,1328.5,1330,1318.5,6.27K
2018/2/12,1331.5,1322,1335,1321.9,7.76K
2018/2/13,1335.4,1329.7,1338.6,1329.1,5.04K
2018/2/14,1363.1,1336.7,1363.6,1325,14.55K
2018/2/15,1360.7,1357.8,1365,1356.3,11.53K
2018/2/16,1361.6,1361.8,1369.6,1353,17.72K
2018/2/20,1336.6,1355.1,1359,1336.1,15.41K
2018/2/21,1337.5,1336.6,1343.1,1330,2.96K
2018/2/22,1338.1,1332.3,1339.5,1328.2,10.48K
2018/2/23,1335.8,1339.3,1339.3,1333,7.85K
2018/2/26,1338.4,1335,1348.1,1334.4,15.35K
2018/2/27,1324.2,1340.5,1343.8,1320.4,14.02K
2018/2/28,1323.7,1324.5,1329.2,1322.5,24.31K
2018/3/1,1311,1325.6,1327.6,1309.3,27.77K
2018/3/2,1329.2,1323.9,1332.4,1321.9,10.25K
2018/3/5,1325.7,1330.6,1334.4,1324,16.20K
2018/3/6,1341,1326.6,1345.5,1326.6,13.45K
2018/3/7,1333.4,1343.8,1347.5,1329,31.03K
2018/3/8,1327.6,1332.2,1335.5,1325.5,31.57K
2018/3/9,1329.9,1328.1,1331.6,1319.1,43.90K
2018/3/12,1326.7,1329.8,1330.4,1321.4,31.32K
2018/3/13,1333,1329.3,1334.6,1320,40.23K
2018/3/14,1331.4,1332.4,1336.4,1327.6,28.68K
2018/3/15,1323.5,1330.7,1333.8,1320.7,14.09K
2018/3/16,1318,1322.3,1327.4,1315.3,26.99K
2018/3/19,1323.4,1319.5,1325.2,1313.1,49.99K
