date,score,Sentiment score,Relatedness
2020/3/18,4,80,90
2020/3/18,2,-80,90
2020/3/18,15,-75,30
2020/3/18,11,-30,70
2020/3/18,9,-70,85
2020/3/18,4,75,85
2020/3/18,1,-60,40
2020/3/18,1,-75,80
2020/3/18,8,-70,85
2020/3/18,6,-70,50
2020/3/18,1,-70,60
2020/3/18,3,60,80
2020/3/18,6,70,80
2020/3/18,3,10,20
2020/3/18,5,-50,70
2020/3/18,0,-80,20
2020/3/18,10,-85,75
2020/3/18,7,-70,10
2020/3/18,3,-40,60
2020/3/18,8,-20,50
2020/3/18,0,10,5
2020/3/18,7,-70,80
2020/3/18,5,80,70
2020/3/18,5,80,90
2020/3/18,2,-65,20
2020/3/18,3,-80,30
2020/3/18,0,-10,50
2020/3/18,7,50,85
2020/3/18,11,-70,60
2020/3/18,5,70,40
2020/3/18,4,50,70
2020/3/18,5,-80,70
2020/3/18,6,70,60
2020/3/18,8,-70,90
2020/3/18,6,-70,90
2020/3/18,4,-70,40
2020/3/18,2,-30,60
2020/3/18,5,-80,90
2020/3/18,1,70,60
2020/3/18,1,-50,60
2020/3/18,5,-60,40
2020/3/18,0,-30,60
2020/3/18,0,-60,80
2020/3/18,7,-30,70
2020/3/18,4,-60,85
2020/3/18,3,-70,40
2020/3/18,3,-70,85
2020/3/18,0,50,80
2020/3/18,4,-60,90
2020/3/18,0,10,5
2020/3/18,3,70,80
2020/3/18,3,-70,40
2020/3/18,0,-70,60
2020/3/18,1,-70,20
2020/3/18,2,-60,20
2020/3/18,7,-75,20
2020/3/18,5,-70,80
2020/3/18,2,-75,80
2020/3/18,0,30,50
2020/3/18,2,-75,85
2020/3/18,4,-10,30
2020/3/18,0,-50,60
2020/3/18,0,70,50
2020/3/18,0,-40,70
2020/3/18,0,-20,70
2020/3/18,1,-70,60
2020/3/18,2,50,70
2020/3/18,3,45,75
2020/3/18,3,25,40
2020/3/18,1,-20,60
2020/3/18,4,80,70
2020/3/18,4,10,20
2020/3/18,1,-50,80
2020/3/18,7,50,75
2020/3/18,1,-70,80
2020/3/18,4,70,50
2020/3/18,1,70,60
2020/3/18,3,30,20
2020/3/18,8,-45,70
2020/3/18,2,40,60
2020/3/18,3,60,40
2020/3/18,7,-70,50
2020/3/18,3,70,60
2020/3/18,5,-50,30
2020/3/18,2,65,80
2020/3/18,8,60,30
2020/3/18,6,-60,70
2020/3/18,6,-70,90
2020/3/18,5,-50,20
2020/3/18,8,-70,60
2020/3/18,5,60,50
2020/3/18,7,-70,85
2020/3/18,13,-90,85
2020/3/18,5,-20,65
2020/3/18,5,-50,70
2020/3/18,8,60,80
2020/3/18,1,80,50
2020/3/18,1,-80,90
2020/3/18,0,10,30
2020/3/18,3,-40,70
2020/3/18,0,-10,20
2020/3/18,0,80,60
2020/3/18,1,80,70
2020/3/18,1,60,80
2020/3/18,4,-80,90
2020/3/18,0,-70,75
2020/3/18,0,10,60
2020/3/18,0,50,70
2020/3/18,1,-80,90
2020/3/18,0,40,70
2020/3/18,1,50,30
2020/3/18,1,70,60
2020/3/18,4,75,90
2020/3/18,5,-45,70
2020/3/18,3,-60,80
2020/3/18,1,5,80
2020/3/18,1,60,80
2020/3/19,0,60,80
2020/3/19,0,70,60
2020/3/19,6,60,80
2020/3/19,2,60,80
2020/3/19,13,70,80
2020/3/19,15,-60,25
2020/3/19,8,-50,65
2020/3/19,0,-30,70
2020/3/19,2,-85,90
2020/3/19,2,-55,70
2020/3/19,3,25,60
2020/3/19,4,30,60
2020/3/19,9,-80,70
2020/3/19,4,70,80
2020/3/19,0,65,80
2020/3/19,3,40,70
2020/3/19,3,50,30
2020/3/19,3,-50,30
2020/3/19,0,70,50
2020/3/19,5,70,60
2020/3/19,1,-10,20
2020/3/19,10,-80,70
2020/3/19,0,60,80
2020/3/19,4,-20,60
2020/3/19,10,-75,40
2020/3/19,1,-60,30
2020/3/19,4,-50,70
2020/3/19,4,80,90
2020/3/19,7,-20,70
2020/3/19,3,40,20
2020/3/19,2,65,70
2020/3/19,6,-50,70
2020/3/19,7,75,80
2020/3/19,4,-20,30
2020/3/19,4,40,70
2020/3/19,7,10,60
2020/3/19,13,-80,90
2020/3/19,0,-20,70
2020/3/19,0,-20,70
2020/3/19,3,20,50
2020/3/19,7,-75,80
2020/3/19,0,-40,75
2020/3/19,3,50,10
2020/3/19,3,-50,80
