date,Sentiment score,Relatedness,score
2020/1/1,75,50,1
2020/1/1,-70,80,1
2020/1/1,70,80,1
2020/1/1,60,80,1
2020/1/1,5,80,1
2020/1/1,50,70,1
2020/1/1,50,80,1
2020/1/1,-60,20,1
2020/1/1,0,50,1
2020/1/1,70,60,1
2020/1/2,-70,50,1
2020/1/2,60,80,1
2020/1/2,-70,60,1
2020/1/2,-70,50,1
2020/1/2,-50,20,1
2020/1/2,-70,80,1
2020/1/2,-80,60,1
2020/1/2,70,60,1
2020/1/2,-60,20,1
2020/1/2,-80,70,1
2020/1/2,0,20,1
2020/1/2,50,70,1
2020/1/2,70,80,1
2020/1/2,-70,60,1
2020/1/2,-70,30,1
2020/1/2,70,80,1
2020/1/2,80,90,1
2020/1/2,0,20,1
2020/1/2,-70,60,1
2020/1/2,60,85,1
2020/1/2,70,80,1
2020/1/2,-40,70,1
2020/1/2,-70,20,1
2020/1/2,-20,70,1
2020/1/2,70,80,1
2020/1/2,-80,20,1
2020/1/3,-80,60,1
2020/1/3,20,60,1
2020/1/3,0,50,1
2020/1/3,-70,60,1
2020/1/3,10,20,1
2020/1/3,0,10,1
2020/1/3,-80,10,1
2020/1/3,-10,60,1
2020/1/3,80,60,1
2020/1/3,10,70,1
2020/1/3,-80,20,1
2020/1/3,60,75,1
2020/1/3,20,60,1
2020/1/3,20,70,1
2020/1/3,-30,20,1
2020/1/3,-70,20,1
2020/1/3,-70,60,1
2020/1/3,-60,80,1
2020/1/3,-20,80,1
2020/1/3,-70,20,1
2020/1/3,80,20,1
2020/1/3,60,80,1
2020/1/3,50,70,1
2020/1/3,80,90,1
2020/1/3,-70,80,1
2020/1/3,60,70,1
2020/1/3,70,80,1
2020/1/3,0,60,1
2020/1/3,-80,60,1
2020/1/3,80,90,1
2020/1/3,-80,70,1
2020/1/3,30,70,1
2020/1/3,80,70,1
2020/1/3,60,20,1
2020/1/3,-70,85,1
2020/1/3,-80,60,1
2020/1/3,25,70,1
2020/1/3,-70,60,1
2020/1/3,60,80,1
2020/1/3,-70,50,1
2020/1/3,-80,20,1
2020/1/3,55,40,1
2020/1/3,20,50,1
2020/1/3,-70,20,1
2020/1/3,60,80,1
2020/1/3,50,75,1
2020/1/3,50,70,1
2020/1/3,-90,10,1
2020/1/3,70,50,1
2020/1/3,50,20,1
2020/1/3,20,50,1
2020/1/3,70,85,1
2020/1/3,-80,10,1
2020/1/3,0,0,1
2020/1/3,-60,20,1
2020/1/3,-50,20,1
2020/1/3,80,60,1
2020/1/3,-20,50,1
2020/1/3,50,30,1
2020/1/3,80,60,1
2020/1/3,-80,20,1
2020/1/3,-70,30,1
2020/1/3,-80,60,1
2020/1/3,-60,30,1
2020/1/3,-10,50,1
2020/1/3,50,60,1
2020/1/3,-70,90,1
2020/1/4,-80,70,1
2020/1/4,80,60,1
2020/1/4,80,90,1
2020/1/4,80,100,1
2020/1/4,-80,90,1
2020/1/4,70,80,1
2020/1/4,80,90,1
2020/1/4,50,30,1
2020/1/4,50,70,1
2020/1/4,80,70,1
2020/1/4,-70,90,1
2020/1/4,70,80,1
2020/1/4,50,75,1
2020/1/5,20,50,1
2020/1/5,-60,20,1
2020/1/5,-70,20,1
2020/1/5,70,20,1
2020/1/5,20,10,1
2020/1/5,60,80,1
2020/1/5,80,85,1
2020/1/5,20,70,1
2020/1/5,0,25,1
2020/1/5,80,60,1
2020/1/5,10,30,1
2020/1/5,60,40,1
2020/1/5,50,80,1
2020/1/5,-70,60,1
2020/1/5,-70,20,1
2020/1/6,75,80,1
2020/1/6,40,60,1
2020/1/6,70,80,1
2020/1/6,-70,20,1
2020/1/6,50,30,1
2020/1/6,-20,50,1
2020/1/6,-60,80,1
2020/1/6,70,80,1
2020/1/6,60,80,1
2020/1/6,70,90,1
2020/1/6,0,50,1
2020/1/6,50,80,1
2020/1/6,-20,60,1
2020/1/6,0,30,1
2020/1/6,50,80,1
2020/1/6,30,65,1
2020/1/6,-80,20,1
2020/1/6,-70,60,1
2020/1/6,-30,10,1
2020/1/6,50,80,1
2020/1/6,-90,10,1
2020/1/6,60,80,1
2020/1/6,80,60,1
2020/1/6,0,15,1
2020/1/6,-70,20,1
2020/1/6,0,20,1
2020/1/6,60,45,1
2020/1/6,10,40,1
2020/1/6,60,80,1
2020/1/6,80,90,1
2020/1/6,0,50,1
2020/1/6,-60,70,1
2020/1/6,80,60,1
2020/1/6,70,60,1
2020/1/6,80,60,1
2020/1/6,-70,30,1
2020/1/6,-80,60,1
2020/1/6,-75,80,1
2020/1/6,10,90,1
2020/1/6,-60,40,1
2020/1/6,-70,60,1
2020/1/6,50,10,1
2020/1/6,-80,90,1
2020/1/6,0,20,1
2020/1/6,70,60,1
2020/1/6,-60,80,1
2020/1/6,-80,50,1
2020/1/6,-70,20,1
2020/1/6,70,85,1
2020/1/6,-70,30,1
2020/1/6,20,50,1
2020/1/6,40,20,1
2020/1/6,70,90,1
2020/1/6,-70,80,1
2020/1/6,70,60,1
2020/1/6,-80,70,1
2020/1/6,70,60,1
2020/1/6,-80,70,1
2020/1/6,-70,80,1
2020/1/6,80,60,1
2020/1/6,-50,75,1
2020/1/6,-50,70,1
2020/1/6,80,90,1
2020/1/6,-40,60,1
2020/1/6,-80,60,1
2020/1/6,-80,20,1
2020/1/6,70,85,1
2020/1/6,-80,10,1
2020/1/6,-50,70,1
2020/1/6,-60,30,1
2020/1/6,-70,80,1
2020/1/6,10,20,1
2020/1/6,-30,70,1
2020/1/6,10,20,1
2020/1/6,-80,10,1
2020/1/6,-80,50,1
2020/1/6,-60,20,1
2020/1/6,-70,60,1
2020/1/6,40,80,1
2020/1/6,-70,20,1
2020/1/6,20,70,1
2020/1/6,-70,30,1
2020/1/6,80,10,1
2020/1/6,50,60,1
2020/1/6,-80,70,1
2020/1/6,70,85,1
2020/1/6,60,80,1
2020/1/6,50,20,1
2020/1/6,80,70,1
2020/1/6,-80,90,1
2020/1/6,10,30,1
2020/1/6,60,80,1
2020/1/6,60,80,1
2020/1/6,50,10,1
2020/1/7,0,25,1
2020/1/7,80,90,1
2020/1/7,-70,30,1
2020/1/7,-50,10,1
2020/1/7,-10,80,1
2020/1/7,-50,20,1
2020/1/7,20,70,1
2020/1/7,60,80,1
2020/1/7,-80,20,1
2020/1/7,80,70,1
2020/1/7,0,50,1
2020/1/7,30,70,1
2020/1/7,-80,70,1
2020/1/7,50,30,1
2020/1/7,0,20,1
2020/1/7,70,80,1
2020/1/7,-30,10,1
2020/1/7,-80,60,1
2020/1/7,35,70,1
2020/1/7,-10,50,1
2020/1/7,-70,30,1
2020/1/7,10,20,1
2020/1/7,-50,20,1
2020/1/7,50,60,1
2020/1/7,-80,85,1
2020/1/7,-80,20,1
2020/1/7,60,80,1
2020/1/7,-70,50,1
2020/1/7,-50,20,1
2020/1/7,10,70,1
2020/1/7,60,80,1
2020/1/7,-40,70,1
2020/1/7,0,25,1
2020/1/7,0,10,1
2020/1/7,80,90,1
2020/1/7,80,60,1
2020/1/7,10,80,1
2020/1/7,-70,40,1
2020/1/7,80,60,1
2020/1/7,10,30,1
2020/1/7,50,80,1
2020/1/7,-80,20,1
2020/1/7,-70,20,1
2020/1/7,-70,90,1
2020/1/7,-70,80,1
2020/1/7,-40,60,1
2020/1/7,60,20,1
2020/1/7,50,10,1
2020/1/7,-60,80,1
2020/1/7,0,20,1
2020/1/7,0,50,1
2020/1/7,20,60,1
2020/1/7,50,70,1
2020/1/7,-80,90,1
2020/1/7,80,90,1
2020/1/7,-70,20,1
2020/1/7,70,50,1
2020/1/7,-50,20,1
2020/1/7,-80,20,1
2020/1/7,-70,50,1
2020/1/7,-90,20,1
2020/1/7,0,10,1
2020/1/7,-80,20,1
2020/1/7,60,70,1
2020/1/7,-70,40,1
2020/1/7,40,60,1
2020/1/7,0,10,1
2020/1/7,80,70,1
2020/1/7,0,25,1
2020/1/7,70,85,1
2020/1/7,80,90,1
2020/1/8,-70,20,1
2020/1/8,50,60,1
2020/1/8,-20,40,1
2020/1/8,-80,20,1
2020/1/8,0,40,1
2020/1/8,-70,30,1
2020/1/8,80,90,1
2020/1/8,60,80,1
2020/1/8,-50,30,1
2020/1/8,-50,20,1
2020/1/8,-70,30,1
2020/1/8,20,60,1
2020/1/8,-70,20,1
2020/1/8,30,40,1
2020/1/8,-70,20,1
2020/1/8,-80,10,1
2020/1/8,60,40,1
2020/1/8,60,90,1
2020/1/8,0,60,1
2020/1/8,-50,30,1
2020/1/8,20,60,1
2020/1/8,50,10,1
2020/1/8,40,10,1
2020/1/8,-70,90,1
2020/1/8,50,30,1
2020/1/8,-70,30,1
2020/1/8,0,20,1
2020/1/8,-80,60,1
2020/1/8,80,60,1
2020/1/8,70,50,1
2020/1/8,70,85,1
2020/1/8,20,60,1
2020/1/8,-80,60,1
2020/1/8,-80,40,1
2020/1/8,-70,60,1
