date,open,volume,low,high,close
2018/1/2,279.5464,54884,278.9574,279.9047,279.4068
2018/1/3,281.3037,123230,279.4897,281.496,280.3886
2018/1/4,279.056,119370,278.4336,280.5832,279.0807
2018/1/5,280.5281,135666,278.4743,280.6123,279.9609
2018/1/8,280.1639,126584,279.2148,280.9372,280.3471
2018/1/9,280.5055,101608,280.1953,281.1826,280.7337
2018/1/10,280.3997,105030,279.9705,281.0784,280.1639
2018/1/11,281.3114,109272,280.7295,282.0678,281.0725
2018/1/12,281.3146,108260,280.7768,282.0267,281.7698
2018/1/15,282.5118,155318,280.3103,282.8332,282.2993
2018/1/16,282.2834,74420,281.745,282.5967,281.8979
2018/1/17,281.9913,121934,280.8141,282.1519,281.0567
2018/1/18,279.7734,121782,278.9134,281.2675,279.5065
2018/1/19,278.3782,126860,278.2008,279.6756,278.6426
2018/1/22,279.0237,94112,278.7169,279.4753,278.8117
2018/1/23,279.16,108144,278.8996,279.9021,279.7061
2018/1/24,280.2965,133226,279.461,281.0018,281.0018
2018/1/25,281.84,152918,281.0837,282.4196,282.0703
2018/1/26,279.5827,163968,279.5115,281.6259,280.2976
2018/1/29,279.8041,118882,278.8841,280.3443,279.0338
2018/1/30,277.7322,145130,276.5588,279.0904,276.6973
2018/1/31,277.2761,132078,276.8133,278.4078,276.9637
2018/2/1,276.9911,109586,275.9875,277.1594,276.4236
2018/2/2,277.1475,97442,275.9639,277.2071,276.7624
2018/2/5,274.8144,183354,274.1168,276.8532,274.3487
2018/2/6,276.1877,167446,274.1502,277.7368,276.3589
2018/2/7,272.5333,176480,272.0195,275.2917,272.6551
2018/2/8,271.5823,171208,270.7173,272.5053,272.0516
2018/2/9,273.8972,155150,272.1644,274.8243,273.3902
2018/2/12,271.7925,167324,271.216,273.4464,273.2599
2018/2/13,273.7988,107770,272.9521,274.7126,274.6216
2018/2/14,275.4274,103060,273.9216,276.5237,276.4599
2018/2/22,275.0981,72386,273.6814,275.1523,274.0448
2018/2/23,275.1773,91118,274.3862,275.3765,274.9766
2018/2/26,274.7008,106834,274.4788,276.3188,276.2189
2018/2/27,274.7763,111432,274.4473,275.9688,274.7879
2018/2/28,272.6479,167484,272.087,274.7666,272.4231
2018/3/1,272.4895,99192,271.7327,273.1272,272.0824
2018/3/2,272.9061,179928,271.0856,273.4294,273.0888
2018/3/5,273.4835,131324,272.8459,274.2905,274.0451
2018/3/6,273.0357,83308,272.7531,273.8977,273.7021
2018/3/7,275.4294,166432,274.0398,275.7386,274.9445
2018/3/8,273.889,134598,273.5787,274.7979,274.4177
2018/3/9,273.3368,122752,272.6741,274.5832,272.9894
2018/3/12,273.3,162534,271.9069,273.7053,272.956
2018/3/13,273.2691,94826,272.1078,273.3406,272.7465
2018/3/14,273.3874,150290,272.3629,274.0675,273.2179
2018/3/15,272.9698,89750,272.4696,273.3075,272.9635
2018/3/16,272.0594,117184,271.3765295,272.3763367,271.8209841
2018/3/19,271.2809,140266,270.1206106,272.0651112,270.5202451
2018/3/20,271.4024,99858,270.780881,271.9751948,271.6985873
2018/3/21,271.029,108630,270.3820823,271.7763982,271.6310183
2018/3/22,274.2826,226952,272.0939405,274.7938174,274.0627716
2018/3/23,276.178,236302,273.92268,277.1704432,277.127225
2018/3/26,277.2735,184850,276.4681,277.9082,276.7542
2018/3/27,276.1186,141990,275.9552,277.2548,276.3984
2018/3/28,275.5197,146668,274.5391,275.7317,274.7824
2018/3/29,272.3166,221066,271.4543,274.2425,271.549
2018/3/30,271.9564,83930,271.3205,272.1077,272.0572
2018/4/2,271.9082,78590,271.8235,272.8539,272.2731
2018/4/3,274.5886,173892,272.871,275.1625,274.3401
2018/4/4,272.9071,148582,272.1957,274.0941,273.967
2018/4/9,273.4954,71318,272.9642,273.791,273.1071
2018/4/10,274.5162,133466,272.9935,274.7418,273.2859
2018/4/11,274.1659,160998,273.3802,274.9567,274.9142
2018/4/12,275.338,318106,275.084,277.5495,275.9501
2018/4/13,273.7134,192310,273.3679,275.383,273.859
2018/4/16,274.7584,195612,273.6363,275.6431,275.0024
2018/4/17,275.1915,125094,274.5936,275.6022,275.3933
2018/4/18,275.1292,141420,273.7861,275.4948,275.2539
2018/4/19,275.5811,181090,275.341,276.6195,276.0197
2018/4/20,275.1045,167086,274.3226,275.5919,274.6626
2018/4/23,273.19,250732,273.0341,274.7099,273.597
2018/4/24,272.9216,212496,272.2824,273.4641,273.0351
2018/4/25,273.5799,173156,272.8828,274.0325,273.0008
2018/4/26,273.0242,159530,272.8211,273.7342,273.6051
2018/4/27,272.5149,225296,272.6119,273.7603,273.0381
2018/5/2,271.3618,138536,270.8055,272.6709,272.4652
2018/5/3,272.8733,216746,272.1025,273.6702,272.794
2018/5/4,273.2065,188154,273.031,274.1587,273.3092
2018/5/7,274.6,166410,273.4506,274.812,274.1869
2018/5/8,274.406,128188,273.9088,274.5738,274.1087
2018/5/9,274.6069,185004,273.1694,275.2004,273.8512
2018/5/10,274.0115,131970,273.9209,274.8112,274.0911
2018/5/11,274.4012,117446,274.0651,275.0743,274.4957
2018/5/14,274.4855,82980,274.3334,275.0596,274.4834
2018/5/15,273.4556,98382,273.0334,274.5822,273.2165
2018/5/16,270.4752,168546,270.008,271.5603,270.7003
2018/5/17,269.8641,128992,269.2448,270.2875,269.3519
2018/5/18,269.7744,97558,269.4131,269.9562,269.7995
2018/5/21,270.2995,146712,268.9936,270.6863,269.0559
2018/5/22,270.3194,117830,269.5859,270.3854,269.8468
2018/5/23,270.1179,117676,269.852,270.5064,270.1705
2018/5/24,271.2358,175416,270.4218,272.0645,272.0145
2018/5/25,273.0651,149434,272.0503,273.6391,273.3361
2018/5/28,272.724,135794,271.9815,274.1308,272.1857
2018/5/29,273.1763,90586,272.5132,273.5093,273.1056
2018/5/30,274.5663,192240,272.6823,274.8255,274.029
2018/5/31,274.0187,98976,273.7209,274.4697,274.4156
2018/6/1,273.6743,125272,273.233,274.9265,273.7781
2018/6/4,272.736,104910,272.2371,273.5846,272.336
2018/6/5,271.9429,85980,271.595,272.9401,271.8453
2018/6/6,272.647,111034,271.649,273.2917,272.3483
2018/6/7,271.953,81546,271.7569,272.804,272.1066
2018/6/8,272.2085,106362,271.7591,272.7063,272.0579
2018/6/11,272.5584,112466,272.3137,273.3116,272.6644
2018/6/12,272.9656,105126,272.172,273.4194,272.3718
2018/6/13,272.1734,79780,271.9255,272.8699,272.0747
2018/6/14,272.6206,126288,271.9236,273.3155,273.3155
2018/6/15,273.7636,133906,273.2214,274.3644,273.62
2018/6/19,271.0055,87734,270.7545,271.5039,271.4039
2018/6/20,270.7549,109042,270.1549,271.4037,270.2049
2018/6/21,269.7057,119858,269.1055,270.8543,269.4552
2018/6/22,270.1052,90546,269.4049,270.6538,270.5538
2018/6/25,271.5035,131198,270.1556,271.7045,271.1549
2018/6/26,271.2051,98890,271.2049,272.0043,271.2554
2018/6/27,271.1557,112062,270.8555,271.7547,271.6046
2018/6/28,271.7046,90608,270.9065,271.9054,270.9066
2018/6/29,271.1061,97644,270.757,271.7557,271.4061
2018/7/2,271.9053,94660,271.0069,272.4551,272.1056
2018/7/3,271.7058,123636,271.3065,273.0053,271.9064
2018/7/4,273.3561,145672,272.1071,273.7056,272.6566
2018/7/5,273.0062,90050,272.3076,273.306,272.7573
2018/7/6,273.2571,109356,272.4082,273.558,273.2579
2018/7/9,273.3082,91980,272.7058,273.4224,273.1222
2018/7/10,272.075,95944,271.5745,273.3224,272.0218
2018/7/11,272.9191,102208,271.8772,273.0734,272.8739
2018/7/12,272.5248,95114,271.7766,273.323,271.9265
2018/7/13,272.0769,68290,271.627,272.375,271.7263
2018/7/16,271.8768,69362,271.727,272.4751,272.0768
2018/7/17,271.1779,99318,270.779,271.7765,271.5749
2018/7/18,269.6288,181396,268.6305,271.4262,269.0794
2018/7/19,269.8286,105654,269.231,270.3795,270.3292
2018/7/20,270.3331,132966,269.2336,271.1308,270.6829
2018/7/23,272.3289,107430,271.4846,272.3324,271.9328
2018/7/24,272.234,105246,271.5352,272.2379,271.7363
2018/7/25,272.0355,75750,271.5397,272.2375,271.7385
2018/7/26,271.6852,95164,271.3385,272.1374,272.1367
2018/7/27,271.7904,88840,271.3386,272.1369,271.538
2018/7/30,271.7411,78498,271.4411,272.0909,271.5905
2018/7/31,271.8406,68322,271.3433,271.9424,271.6929
2018/8/1,271.3414,123190,270.196,271.5934,271.4945
2018/8/2,270.6475,93980,270.5449,271.5895,270.7941
2018/8/3,270.1989,87418,269.9476,271.4428,270.2462
2018/8/6,270.4474,110378,270.0131,271.2458,270.2981
2018/8/7,269.8522,74548,269.6004,270.598,270.1503
2018/8/8,268.5517,112900,268.3569,269.9073,269.5538
2018/8/9,269.5017,88232,268.6627,269.7111,269.6105
2018/8/10,269.7613,82286,269.1637,269.813,269.4633
2018/8/13,270.1168,114312,270.0166,270.7661,270.1673
2018/8/14,268.0259,149050,267.5698,269.2182,267.7198
2018/8/15,267.8643,98072,267.074,268.4699,267.4709
2018/8/16,264.2292,238632,262.7756,267.5187,264.0744
2018/8/17,263.8722,131126,263.3274,264.7252,263.4782
2018/8/20,264.2729,92094,263.481,265.2258,265.2258
2018/8/21,265.6756,95010,264.8806,266.5287,266.4296
2018/8/22,266.3684,104516,265.0817,266.628,266.329
2018/8/23,266.4787,90378,266.2331,267.2793,266.2821
2018/8/24,266.1358,83052,265.64,266.8902,266.4009
2018/8/27,267.1889,125828,265.8922,267.7384,267.5364
2018/8/28,267.8338,79758,267.3427,268.4384,268.3896
2018/8/29,266.4839,94090,266.145,268.2432,267.143
2018/8/30,267.7434,78186,267.1504,267.9465,267.5456
2018/8/31,267.8998,112682,266.7057,268.2019,267.9009
2018/9/3,266.9111,90312,266.6591,267.9082,266.7077
2018/9/4,266.7616,67624,265.6208,267.0128,265.7208
2018/9/5,265.3766,90992,265.1702,265.9718,265.7155
2018/9/6,266.3608,84810,265.7848,266.8747,266.5252
2018/9/7,267.1252,115058,266.633,267.7297,267.3285
2018/9/10,266.797,102900,266.1444,267.1408,266.4026
2018/9/11,266.8475,67618,266.6507,267.2444,267.1463
2018/9/12,267.4526,100488,265.9036,267.6952,266.9518
2018/9/13,267.899,117382,266.8545,268.3482,268.2466
2018/9/14,267.5973,144274,267.2621,269.1992,268.7996
2018/9/17,267.4614,106754,267.2608,268.3096,267.5122
2018/9/18,268.2528,92908,267.7732,268.6701,267.8232
2018/9/19,267.7234,78690,267.3841,268.6216,268.1224
2018/9/20,268.2898,90674,267.9489,268.8382,268.3912
2018/9/21,268.9359,98492,268.1552,269.5363,269.2416
